City,Country Code,Lat,Lon,Date,Temp (F),Humidity,Cloudiness,Wind Speed
waki,jp,34.19,132.21,2018-10-19 16:55:00,57.2,76,20,8.05
kisangani,cd,0.52,25.21,2018-10-19 17:09:51,76.4,89,64,3.4
rikitea,pf,-23.12,-134.97,2018-10-19 17:09:51,74.96,96,8,10.11
oxford,ca,45.73,-63.86,2018-10-19 17:09:51,40.31,44,0,7.09
half moon bay,us,37.46,-122.43,2018-10-19 15:56:00,57.42,87,75,4.52
victoria,sc,-4.62,55.45,2018-10-19 16:00:00,80.6,74,20,1.12
mabaruma,gy,8.2,-59.78,2018-10-19 17:09:52,82.16,97,48,6.08
birao,cf,10.3,22.78,2018-10-19 17:09:52,80.04,31,0,4.63
meulaboh,id,4.14,96.13,2018-10-19 17:09:53,78.74,100,48,1.5
cockburn town,tc,21.46,-71.14,2018-10-19 17:09:53,83.06,96,76,19.06
langsa,id,4.47,97.97,2018-10-19 17:09:53,69.65,100,88,2.51
tuatapere,nz,-46.13,167.69,2018-10-19 17:09:54,54.53,83,88,17.05
port alfred,za,-33.59,26.89,2018-10-19 17:09:54,62.18,100,92,13.69
bredasdorp,za,-34.53,20.04,2018-10-19 16:00:00,64.4,55,56,11.41
iquitos,pe,-3.75,-73.25,2018-10-19 16:00:00,89.6,62,40,6.93
mar del plata,ar,-46.43,-67.52,2018-10-19 17:10:15,55.61,50,0,12.24
mehamn,no,71.03,27.85,2018-10-19 16:50:00,42.17,93,75,13.87
port blair,in,11.67,92.75,2018-10-19 17:08:12,81.3,100,68,3.4
nova olinda do norte,br,-3.89,-59.1,2018-10-19 17:10:16,90.17,65,8,4.52
kandrian,pg,-6.21,149.55,2018-10-19 17:10:16,74.55,100,68,2.62
longhua,cn,29.21,106.21,2018-10-19 16:00:00,59,82,90,11.18
lagoa,pt,37.14,-8.45,2018-10-19 16:30:00,68,60,20,10.29
castro,cl,-42.48,-73.76,2018-10-19 17:08:01,58.17,68,64,3.06
pevek,ru,69.7,170.27,2018-10-19 17:10:18,19.02,100,0,6.98
longyearbyen,sj,78.22,15.64,2018-10-19 15:50:00,21.2,100,20,6.93
barra patuca,hn,15.8,-84.28,2018-10-19 17:10:10,81.62,100,76,5.41
kapaa,us,22.08,-159.32,2018-10-19 15:56:00,70.81,77,20,9.17
sinegorskiy,ru,48.01,40.84,2018-10-19 17:10:19,56.6,67,20,9.55
seaside,us,45.99,-123.92,2018-10-19 16:55:00,47.01,100,90,3.36
port augusta,au,-32.49,137.76,2018-10-19 16:00:00,53.6,71,0,8.05
antsohihy,mg,-14.88,47.99,2018-10-19 17:10:20,76.13,90,12,4.52
nikolskoye,ru,59.7,30.79,2018-10-19 16:30:00,44.6,81,75,8.95
klaksvik,fo,62.23,-6.59,2018-10-19 16:50:00,46.4,75,56,20.8
izhma,ru,65.01,53.91,2018-10-19 17:10:21,33.2,95,92,5.64
taoudenni,ml,22.68,-3.98,2018-10-19 17:10:21,83.64,22,8,6.98
forio,it,40.73,13.86,2018-10-19 16:20:00,72.77,56,0,2.24
cidreira,br,-30.17,-50.22,2018-10-19 17:10:23,71.18,79,0,10.78
callaway,us,46.98,-95.91,2018-10-19 16:53:00,54.61,46,1,20.8
bluff,nz,-46.6,168.33,2018-10-19 17:10:23,51.83,96,92,18.72
hermanus,za,-34.42,19.24,2018-10-19 17:10:24,58.89,58,64,9.44
sakaraha,mg,-22.91,44.53,2018-10-19 17:10:24,67.94,56,0,7.99
kerema,pg,-7.96,145.78,2018-10-19 17:10:25,71.9,100,80,2.06
norman wells,ca,65.28,-126.83,2018-10-19 16:00:00,26.6,92,75,5.82
ezequiel montes,mx,20.66,-99.9,2018-10-19 15:41:00,62.6,72,75,10.29
upernavik,gl,72.79,-56.15,2018-10-19 17:10:26,22.49,100,64,9.22
port moresby,pg,-9.47,147.16,2018-10-19 16:00:00,75.2,94,40,5.82
hithadhoo,mv,-0.6,73.08,2018-10-19 17:10:26,83.96,100,80,6.98
saint george,bm,32.38,-64.68,2018-10-19 15:55:00,73.4,53,75,13.87
qeshm,ir,26.96,56.27,2018-10-19 16:30:00,82.06,54,0,6.93
marienburg,sr,5.88,-55.04,2018-10-19 17:00:00,94.05,50,40,4.7
la ronge,ca,55.1,-105.3,2018-10-19 16:00:00,33.8,64,40,19.46
lebu,cl,-37.62,-73.65,2018-10-19 17:10:28,53.85,99,0,10
vredendal,za,-31.68,18.49,2018-10-19 17:10:28,73.7,22,12,10.67
katsuura,jp,33.93,134.5,2018-10-19 17:10:29,59.7,100,56,7.99
caravelas,br,-17.73,-39.27,2018-10-19 17:10:29,78.92,98,20,21.52
barrow,us,39.51,-90.4,2018-10-19 16:35:00,54.86,62,90,11.41
zhanaozen,kz,43.35,52.85,2018-10-19 17:10:30,42.83,56,0,6.53
longkou,cn,37.64,120.47,2018-10-19 17:10:30,51.74,100,0,2.17
mocuba,mz,-16.84,36.99,2018-10-19 17:10:30,77.75,77,76,8.43
grojec,pl,50.09,19.57,2018-10-19 17:00:00,50.83,87,75,6.93
yellowknife,ca,62.45,-114.38,2018-10-19 16:00:00,19.4,85,20,2.24
zheleznodorozhnyy,ru,55.75,38,2018-10-19 16:30:00,55.4,71,40,6.71
faanui,pf,-16.48,-151.75,2018-10-19 17:10:32,81.08,97,88,8.1
hobart,au,-42.88,147.33,2018-10-19 16:30:00,62.6,59,0,8.05
kamenka,ru,53.19,44.05,2018-10-19 17:10:33,51.74,70,0,10.78
xai-xai,mz,-25.04,33.64,2018-10-19 17:10:33,72.71,93,0,11.23
vila velha,br,-3.71,-38.6,2018-10-19 17:00:00,86,55,20,17.22
hambantota,lk,6.12,81.12,2018-10-19 17:10:34,79.73,100,0,3.51
mahebourg,mu,-20.41,57.7,2018-10-19 16:00:00,75.2,83,40,5.82
brigantine,us,39.41,-74.36,2018-10-19 16:56:00,60.39,39,1,10.29
deputatskiy,ru,69.3,139.9,2018-10-19 17:10:55,0.17,60,32,4.41
ewa beach,us,21.32,-158.01,2018-10-19 15:57:00,72.07,83,1,3.36
cabo san lucas,mx,22.89,-109.91,2018-10-19 15:42:00,77.99,73,5,2.62
provideniya,ru,64.42,-173.23,2018-10-19 17:10:59,35.85,100,12,16.49
vaini,to,-21.2,-175.2,2018-10-19 16:00:00,71.6,64,40,11.41
alofi,nu,-19.06,-169.92,2018-10-19 16:00:00,71.6,73,75,14.99
hobyo,so,5.35,48.53,2018-10-19 17:11:00,75.09,95,0,5.08
charters towers,au,-20.07,146.27,2018-10-19 17:11:02,67.89,95,64,5.64
georgetown,sh,-7.93,-14.42,2018-10-19 17:11:02,75.5,100,92,20.07
waddan,ly,29.16,16.14,2018-10-19 17:11:02,81.8,22,8,9.55
palana,ru,59.08,159.95,2018-10-19 17:11:03,36.26,81,92,4.41
sayyan,ye,15.17,44.32,2018-10-19 17:11:03,50.48,94,32,0.16
carbonear,ca,47.73,-53.24,2018-10-19 16:00:00,39.2,93,75,11.41
nouadhibou,mr,20.93,-17.03,2018-10-19 17:11:04,78.74,58,64,10.45
byron bay,au,-28.65,153.62,2018-10-19 16:30:00,62.6,93,40,5.41
qaanaaq,gl,77.48,-69.36,2018-10-19 17:11:05,9.53,100,0,9.55
innisfail,au,-17.52,146.03,2018-10-19 17:11:05,68.48,89,88,2.06
iqaluit,ca,63.75,-68.52,2018-10-19 16:00:00,17.6,61,20,2.24
ostrovnoy,ru,68.05,39.51,2018-10-19 17:11:06,35.54,99,88,7.09
puerto ayora,ec,-0.74,-90.35,2018-10-19 16:00:00,78.8,57,75,9.17
havoysund,no,71,24.66,2018-10-19 16:50:00,42.01,93,75,9.17
berlevag,no,70.86,29.09,2018-10-19 16:50:00,38.75,93,75,13.87
maniitsoq,gl,65.42,-52.9,2018-10-19 17:11:07,17.49,100,24,8.1
key largo,us,25.09,-80.45,2018-10-19 16:38:00,88.36,66,20,13.87
baruun-urt,mn,46.68,113.28,2018-10-19 17:11:08,27.26,67,0,5.19
butaritari,ki,3.07,172.79,2018-10-19 17:11:08,81.98,100,76,4.63
esperance,au,-33.86,121.89,2018-10-19 17:11:09,46.74,91,0,3.4
te anau,nz,-45.41,167.72,2018-10-19 17:06:55,47.82,72,56,11.23
rosarito,mx,27.04,-109.91,2018-10-19 15:40:00,77,65,5,4.7
jining,cn,35.41,116.58,2018-10-19 17:11:10,40.31,74,24,2.51
ngunguru,nz,-35.62,174.5,2018-10-19 17:11:10,60.02,98,92,6.2
qingdao,cn,36.09,120.35,2018-10-19 17:00:00,50,81,0,4.47
hasaki,jp,35.73,140.83,2018-10-19 17:00:00,56.17,87,75,11.41
vao,nc,-22.67,167.48,2018-10-19 17:11:11,73.2,100,92,12.24
carnarvon,au,-24.87,113.63,2018-10-19 17:11:12,68.93,90,0,20.62
arraial do cabo,br,-22.97,-42.02,2018-10-19 17:00:00,76.33,83,75,25.28
nijar,es,36.97,-2.21,2018-10-19 17:00:00,68,64,40,5.82
bambous virieux,mu,-20.34,57.76,2018-10-19 16:00:00,75.2,83,40,5.82
ullapool,gb,57.9,-5.16,2018-10-19 17:11:13,50.07,100,64,11.79
palmer,us,61.6,-149.11,2018-10-19 16:56:00,46.94,45,75,11.41
ambala,in,30.38,76.77,2018-10-19 17:09:58,62.9,62,0,6.64
port elizabeth,za,-33.92,25.57,2018-10-19 16:04:00,60.8,87,40,17.22
nueve de julio,ar,-31.67,-68.39,2018-10-19 17:11:15,74.19,44,20,5.75
kruisfontein,za,-34,24.73,2018-10-19 17:11:18,60.11,95,92,11.12
coihaique,cl,-45.58,-72.07,2018-10-19 16:00:00,51.28,61,90,5.82
lufilufi,ws,-13.87,-171.6,2018-10-19 17:11:19,79.73,100,76,21.52
jadu,ly,31.95,12.03,2018-10-19 17:11:19,67.31,49,8,5.08
ribeira grande,pt,38.52,-28.7,2018-10-19 16:30:00,71.6,73,75,8.05
oktyabrskoye,ru,56.73,85.44,2018-10-19 17:11:20,33.24,81,24,4.74
sawakin,sd,19.1,37.33,2018-10-19 16:00:00,87.8,48,0,4.7
grand gaube,mu,-20.01,57.66,2018-10-19 16:00:00,75.2,83,40,5.82
saldanha,za,-33.01,17.94,2018-10-19 16:00:00,66.2,48,88,19.46
stepnyak,kz,52.83,70.79,2018-10-19 17:11:41,28.07,94,64,7.43
matamoros,mx,25.53,-103.23,2018-10-19 15:40:00,68,72,75,5.19
medea,dz,36.27,2.77,2018-10-19 16:30:00,71.6,78,40,8.05
shahr-e babak,ir,30.12,55.12,2018-10-19 17:11:42,50.7,69,24,6.2
petropavlovsk-kamchatskiy,ru,53.05,158.65,2018-10-19 16:00:00,41,75,0,8.95
ketchikan,us,55.34,-131.65,2018-10-19 15:56:00,53.56,81,90,17.22
vestmannaeyjar,is,63.44,-20.27,2018-10-19 17:00:00,41,86,75,18.34
ponta do sol,cv,17.2,-25.09,2018-10-19 17:11:44,77.7,100,0,15.14
leningradskiy,ru,69.38,178.42,2018-10-19 17:11:44,24.92,100,0,3.4
port macquarie,au,-31.43,152.91,2018-10-19 16:00:00,64.4,88,8,3.36
necochea,ar,-38.55,-58.74,2018-10-19 17:11:35,56.51,88,0,12.12
bismarck,us,46.81,-100.78,2018-10-19 16:55:00,54.5,47,1,20.8
chaoyang,cn,41.58,120.44,2018-10-19 17:11:46,31.31,60,0,2.62
saint-louis,sn,16.03,-16.5,2018-10-19 16:00:00,82.4,69,0,9.17
yarada,in,17.65,83.27,2018-10-19 17:11:46,84.09,100,0,5.75
barranca,pe,-10.75,-77.76,2018-10-19 17:11:47,61.77,100,48,6.2
kahului,us,20.89,-156.47,2018-10-19 16:00:00,72.75,88,40,4.7
christchurch,nz,-43.53,172.64,2018-10-19 16:30:00,46.4,70,20,3.36
wad rawah,sd,15.16,33.13,2018-10-19 17:11:48,82.88,24,8,6.98
constitucion,mx,23.99,-104.67,2018-10-19 15:48:00,62.6,72,90,4.7
naze,jp,28.37,129.48,2018-10-19 17:11:48,71,100,36,13.02
sibolga,id,1.74,98.78,2018-10-19 17:11:49,66.41,100,8,1.5
krasnogorskoye,ru,57.7,52.5,2018-10-19 17:11:49,49.31,89,92,9.78
lavrentiya,ru,65.58,-170.99,2018-10-19 17:11:49,38.19,100,92,22.75
banikoara,bj,11.3,2.44,2018-10-19 17:11:50,89.72,41,0,10.56
shahr-e kord,ir,32.33,50.85,2018-10-19 16:00:00,57.2,50,40,11.41
chara,ru,56.9,118.26,2018-10-19 17:11:50,5.57,72,8,1.61
chipurupalle,in,18.32,83.57,2018-10-19 17:11:51,71.36,80,0,2.17
saskylakh,ru,71.97,114.09,2018-10-19 17:11:51,18.89,82,80,13.47
isangel,vu,-19.55,169.27,2018-10-19 17:11:51,76.44,99,88,17.6
port hardy,ca,50.7,-127.42,2018-10-19 16:00:00,42.8,93,5,3.36
warri,ng,5.52,5.75,2018-10-19 17:11:52,80,80,0,5.75
dobrinka,ru,52.17,40.48,2018-10-19 17:11:52,48.99,70,12,8.21
abu dhabi,ae,24.47,54.37,2018-10-19 17:00:00,86,66,0,5.82
honningsvag,no,70.98,25.97,2018-10-19 16:50:00,41.86,93,75,11.41
east london,za,-33.02,27.91,2018-10-19 16:00:00,60.8,87,75,18.34
north battleford,ca,52.78,-108.3,2018-10-19 16:00:00,41,65,1,10.29
mayumba,ga,-3.44,10.65,2018-10-19 17:11:54,76.76,99,88,6.98
zyryanka,ru,65.73,150.89,2018-10-19 17:11:54,8.4,88,20,4.97
chuy,uy,-33.69,-53.46,2018-10-19 17:11:58,65.19,89,0,15.82
burns lake,ca,54.23,-125.76,2018-10-19 17:11:58,42.24,99,88,2.62
svetlogorsk,ru,53.14,59.15,2018-10-19 16:30:00,48.2,70,75,8.95
clyde river,ca,70.47,-68.59,2018-10-19 16:00:00,14,61,40,9.17
palembang,id,-2.99,104.76,2018-10-19 17:12:00,74.1,98,92,3.06
tyrma,ru,50.04,132.17,2018-10-19 17:12:00,23.03,78,0,3.06
luderitz,na,-26.65,15.16,2018-10-19 16:00:00,68,56,0,31.09
okhotsk,ru,59.36,143.24,2018-10-19 17:12:01,17.18,100,0,6.98
tagusao,ph,9.19,117.81,2018-10-19 17:12:01,77.84,100,64,4.07
waverley,nz,-46.39,168.38,2018-10-19 17:12:02,51.02,83,92,15.82
sena madureira,br,-9.07,-68.66,2018-10-19 17:08:27,95.52,45,8,1.61
huarmey,pe,-10.07,-78.15,2018-10-19 17:12:02,72.35,57,8,3.96
talnakh,ru,69.49,88.39,2018-10-19 17:12:23,25.46,93,68,3.4
comodoro rivadavia,ar,-45.87,-67.48,2018-10-19 16:00:00,51.8,53,20,12.75
dali,cn,25.6,100.24,2018-10-19 17:12:24,44.81,100,0,1.61
ossora,ru,59.24,163.07,2018-10-19 17:12:24,39.45,100,92,16.71
bathurst,ca,47.63,-65.65,2018-10-19 16:00:00,37.4,40,1,8.05
novouzensk,ru,50.46,48.14,2018-10-19 17:12:25,45.3,56,0,9.22
dongkan,cn,34,119.83,2018-10-19 17:12:25,53.22,80,76,3.06
colac,au,-38.34,143.59,2018-10-19 17:12:25,52.46,80,44,7.2
madison,us,43.07,-89.38,2018-10-19 16:56:00,50.22,81,90,12.75
westport,nz,-41.75,171.6,2018-10-19 17:10:37,50.93,100,88,1.05
sosva,ru,59.17,61.86,2018-10-19 17:12:26,43.73,99,92,7.54
cap malheureux,mu,-19.98,57.61,2018-10-19 16:00:00,75.2,83,40,5.82
nieuw amsterdam,sr,5.88,-55.08,2018-10-19 17:00:00,94.03,50,40,4.7
lae,pg,-6.72,146.98,2018-10-19 17:12:27,67.94,100,80,1.5
kodiak,us,39.95,-94.76,2018-10-19 16:53:00,55.4,93,90,12.75
ambulu,id,-8.35,113.61,2018-10-19 17:12:28,73.65,100,92,3.4
nanortalik,gl,60.14,-45.24,2018-10-19 17:12:28,32.57,96,80,10.78
ancud,cl,-41.87,-73.83,2018-10-19 17:12:29,57.68,71,92,3.96
kimbe,pg,-5.56,150.15,2018-10-19 17:12:29,77.34,100,76,1.05
bethel,us,60.79,-161.76,2018-10-19 16:53:00,33.8,100,20,5.82
malaga,ph,12.24,124.38,2018-10-19 17:12:30,82.29,100,44,11.12
kysyl-syr,ru,63.9,122.77,2018-10-19 17:12:30,25.28,91,76,4.18
trapani,it,38.02,12.54,2018-10-19 16:20:00,72.5,78,0,10.29
hofn,is,64.25,-15.21,2018-10-19 17:00:00,44.6,81,40,29.97
artigas,uy,-30.4,-56.47,2018-10-19 16:00:00,75.2,57,20,16.11
mayo,ca,63.59,-135.9,2018-10-19 16:30:00,37.4,90,90,8.05
cairns,au,-16.92,145.77,2018-10-19 16:30:00,75.2,78,20,6.93
husavik,is,66.04,-17.34,2018-10-19 16:00:00,48.2,61,75,12.75
the valley,ai,18.22,-63.06,2018-10-19 16:00:00,85.14,62,40,10.29
syamzha,ru,60.02,41.06,2018-10-19 17:12:33,42.11,81,76,12.01
lodwar,ke,3.12,35.6,2018-10-19 17:12:33,71.04,93,32,2.39
kavieng,pg,-2.57,150.8,2018-10-19 17:12:33,80.45,100,64,0.94
kaeo,nz,-35.1,173.78,2018-10-19 17:12:34,56.24,92,92,4.07
muros,es,42.77,-9.06,2018-10-19 17:00:00,64.4,72,20,9.17
rocha,uy,-34.48,-54.34,2018-10-19 17:08:06,67.35,67,0,11.56
itarema,br,-2.92,-39.92,2018-10-19 17:12:35,90.17,47,0,19.06
oksfjord,no,70.24,22.35,2018-10-19 16:50:00,39.76,93,75,11.41
santa rosa,bo,-20.7,-64.83,2018-10-19 17:12:35,66.45,65,68,2.62
dunedin,nz,-45.87,170.5,2018-10-19 17:11:58,37.52,79,12,0.94
lingao,cn,19.91,109.69,2018-10-19 17:12:36,76.76,96,80,13.13
aklavik,ca,68.22,-135.01,2018-10-19 16:42:00,19.4,92,90,8.05
wagar,sd,16.15,36.2,2018-10-19 17:12:37,82.07,32,8,5.75
eureka,us,40.8,-124.16,2018-10-19 16:37:00,47.28,100,90,3.62
thompson,ca,55.74,-97.86,2018-10-19 16:35:00,23,67,75,18.34
tomatlan,mx,19.93,-105.25,2018-10-19 17:12:37,76.67,94,88,3.06
mazagao,br,-0.12,-51.29,2018-10-19 17:00:00,93.2,49,20,11.41
kolondieba,ml,11.09,-6.89,2018-10-19 17:12:38,86.84,55,8,5.08
volosovo,ru,59.45,29.48,2018-10-19 16:30:00,44.6,81,75,8.95
puerto suarez,bo,-18.96,-57.8,2018-10-19 16:00:00,84.13,70,90,9.17
meadow lake,ca,54.13,-108.44,2018-10-19 16:00:00,42.8,70,20,8.05
hede,cn,33.77,120.25,2018-10-19 17:12:40,49.8,83,68,2.62
abbeville,fr,50.11,1.83,2018-10-19 17:00:00,56.34,66,0,4.7
kaitangata,nz,-46.28,169.85,2018-10-19 17:12:41,50.3,56,32,12.01
ziarat,pk,30.38,67.73,2018-10-19 17:12:41,30.68,74,0,2.73
puerto escondido,mx,15.86,-97.07,2018-10-19 15:45:00,82.4,69,75,10.22
port lincoln,au,-34.72,135.86,2018-10-19 17:13:02,56.15,91,48,15.59
kamaishi,jp,39.28,141.86,2018-10-19 17:13:02,48.72,85,64,2.17
santander,es,43.46,-3.8,2018-10-19 17:00:00,64.4,88,75,1.12
berdigestyakh,ru,62.1,126.7,2018-10-19 17:13:03,26.63,91,92,5.41
sitka,us,37.17,-99.65,2018-10-19 17:13:03,63.26,67,0,7.65
yuncheng,cn,35.03,111,2018-10-19 17:13:03,48.72,79,92,3.4
pasighat,in,28.06,95.33,2018-10-19 17:12:04,62.22,73,48,2.17
arawa,pg,-6.23,155.57,2018-10-19 17:13:04,76.22,100,20,2.06
zhigansk,ru,66.77,123.37,2018-10-19 17:13:04,23.97,97,80,4.41
luena,ao,-11.78,19.91,2018-10-19 17:13:04,75.5,54,8,5.19
tiksi,ru,71.64,128.87,2018-10-19 17:13:05,11.6,75,24,10.78
weinan,cn,34.5,109.46,2018-10-19 17:00:00,50,81,0,4.47
guerrero negro,mx,27.97,-114.04,2018-10-19 17:13:05,79.32,53,0,4.63
santiago del estero,ar,-27.8,-64.26,2018-10-19 16:40:00,69.8,94,90,9.17
temeni,gr,38.24,22.12,2018-10-19 16:50:00,69.8,64,40,10.29
bikin,ru,46.82,134.25,2018-10-19 17:13:06,28.29,87,12,2.73
mabay,ph,6.06,124.47,2018-10-19 17:13:06,82.25,100,32,10.22
ambon,id,-3.7,128.18,2018-10-19 17:13:07,81.35,99,92,3.96
dwarka,in,28.58,77.04,2018-10-19 17:00:00,78.8,57,20,3.36
tongren,cn,27.72,109.18,2018-10-19 17:13:07,52.73,100,92,6.64
broome,au,-17.97,122.23,2018-10-19 16:30:00,73.4,94,12,3.36
macheng,cn,31.18,115.03,2018-10-19 17:13:08,48.77,83,44,2.51
kijang,id,0.9,104.63,2018-10-19 17:13:09,80.9,98,0,7.54
gladstone,au,-23.84,151.26,2018-10-19 17:13:09,65.64,100,0,5.53
sangar,ru,63.92,127.47,2018-10-19 17:13:09,20.24,77,80,2.73
quillota,cl,-32.88,-71.25,2018-10-19 17:00:00,61.45,63,0,12.75
hazorasp,uz,41.32,61.08,2018-10-19 16:30:00,48.2,61,0,2.24
bathsheba,bb,13.22,-59.52,2018-10-19 16:00:00,82.4,78,75,13.87
severo-kurilsk,ru,50.68,156.12,2018-10-19 17:13:10,43.01,94,44,15.14
peterhead,gb,57.51,-1.8,2018-10-19 16:50:00,53.6,58,0,11.41
ixtapa,mx,20.71,-105.21,2018-10-19 15:44:00,82.4,100,90,4.7
mae sot,th,16.72,98.57,2018-10-19 17:13:11,73.61,98,12,2.06
la oroya,pe,-11.52,-75.9,2018-10-19 17:13:11,47.87,90,88,3.51
wilmington island,us,32,-80.97,2018-10-19 16:56:00,73.54,78,75,11.41
novikovo,ru,51.15,37.89,2018-10-19 17:13:12,48.95,82,24,6.64
talaya,ru,55.79,84.89,2018-10-19 17:13:12,37.88,77,64,6.98
tura,ru,64.27,100.22,2018-10-19 17:13:13,28.79,91,88,2.73
natal,br,-5.81,-35.21,2018-10-19 17:00:00,87.8,52,20,19.46
bulolo,pg,-7.2,146.64,2018-10-19 17:13:13,63.44,98,80,0.94
hamilton,bm,32.3,-64.78,2018-10-19 15:55:00,73.4,53,75,13.87
kwinana,au,-32.25,115.77,2018-10-19 16:30:00,51.71,93,56,4.7
enid,us,36.4,-97.88,2018-10-19 16:55:00,56.53,100,90,6.93
ambilobe,mg,-13.19,49.05,2018-10-19 17:13:14,75.5,86,20,2.39
guaymas,mx,27.92,-110.9,2018-10-19 15:40:00,75.2,69,5,4.07
springbok,za,-29.67,17.88,2018-10-19 17:13:15,72.89,21,0,13.13
mayskiy,ru,43.63,44.06,2018-10-19 16:30:00,51.8,87,20,4.47
manggar,id,-2.88,108.27,2018-10-19 17:13:15,75,100,0,3.18
kharp,ru,66.82,65.8,2018-10-19 17:13:16,23.66,90,68,7.54
nuuk,gl,64.17,-51.74,2018-10-19 16:50:00,23,45,20,16.11
teguise,es,29.06,-13.56,2018-10-19 17:00:00,75.2,60,20,19.46
maumere,id,-8.63,122.22,2018-10-19 17:13:16,79.46,100,0,8.99
denpasar,id,-8.65,115.22,2018-10-19 16:30:00,78.8,83,20,1.16
lexington,us,38.05,-84.5,2018-10-19 16:30:00,59.49,51,1,9.17
cayenne,gf,4.94,-52.33,2018-10-19 16:30:00,91.4,59,75,13.87
pointe michel,dm,15.25,-61.38,2018-10-19 16:00:00,81.57,78,75,6.93
olinda,br,-22.82,-43.41,2018-10-19 17:00:00,78.06,69,90,11.41
ambovombe,mg,-25.18,46.09,2018-10-19 17:13:39,66.68,91,0,7.2
vardo,no,70.37,31.11,2018-10-19 16:50:00,37.8,93,40,9.17
formosa,br,-15.55,-47.33,2018-10-19 17:13:40,80.9,81,12,4.63
beringovskiy,ru,63.05,179.32,2018-10-19 17:13:40,30.68,100,88,10
ballina,au,-28.87,153.57,2018-10-19 17:13:40,66.14,100,0,5.41
axim,gh,4.87,-2.24,2018-10-19 17:13:41,80.54,99,0,10.78
cabedelo,br,-6.97,-34.84,2018-10-19 16:00:00,87.8,45,20,11.41
roswell,us,33.39,-104.52,2018-10-19 16:55:00,56.21,76,40,4.7
haines junction,ca,60.75,-137.51,2018-10-19 17:13:42,34.64,96,92,3.74
coquimbo,cl,-29.95,-71.34,2018-10-19 17:00:00,60.8,67,20,16.11
roald,no,62.58,6.12,2018-10-19 16:50:00,50.58,62,75,12.75
arman,ru,59.7,150.17,2018-10-19 16:00:00,32,80,90,2.73
takoradi,gh,4.89,-1.75,2018-10-19 17:09:28,80.45,97,12,7.65
paamiut,gl,61.99,-49.67,2018-10-19 17:13:43,31.17,100,44,12.68
